"id","building_id","car_type","time","temporary_parking_count","subscriptions_count","parking_rate","parked_count","created_at"
1605284,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 13:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605291,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 13:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605297,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 14:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605304,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 14:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605310,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 15:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605316,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 15:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605322,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 16:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605329,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 16:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605332,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 17:24:00",8,28,0.0895522,36,"2024-11-04 09:08:49"
1605340,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 17:54:00",8,28,0.0895522,36,"2024-11-04 09:08:49"
1605345,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 18:24:00",8,28,0.0895522,36,"2024-11-04 09:08:49"
1605351,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 18:54:00",8,28,0.0895522,36,"2024-11-04 09:08:49"
1605358,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 19:24:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
1605364,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 19:54:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
1605371,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 20:24:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
1605374,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 20:54:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
